29    699    3:3:3:    3:2:1:    C[6]-3:C[6]-3:C-3:    C[6]-3:C-2:H-1:    C[6](C[6]CH)2(CCH)    C(C[6]CC)(CRu)(H)    1.4590    0.014    7    1.4621    0.0161    20    1.4836    0.0245    11132
29    699    3:3:3:    3:2:1:    C[6]-3:C[6]-3:C-3:    C[6]-3:C-2:O-1:    C[6](C[6]CH)2(CCO)    C(C[6]CC)(CC)(O)    1.4850    0.009    27    1.4841    0.0126    32    1.4836    0.0245    11132
29    699    3:3:3:    3:2:1:    C[6]-3:C[6]-3:C-3:    C[6]-3:N-2:H-1:    C[6](C[6]ClC)2(CHN)    C(C[6]CC)(NN)(H)    1.4686    0.008    10    1.4572    0.0155    2887    1.4836    0.0245    11132
29    699    3:3:3:    3:2:1:    C[6]-3:C[6]-3:C-3:    C[6]-3:N-2:H-1:    C[6](C[6]PdC)(C[6]CH)(CHN)    C(C[6]CC)(NC)(H)    1.4673    0.005    10    1.4572    0.0155    2887    1.4836    0.0245    11132
29    699    3:3:3:    3:2:1:    C[6]-3:C[6]-3:C-3:    C[6]-3:N-2:H-1:    C[6](C[6]BrC)(C[6]CH)(CHN)    C(C[6]CC)(NN)(H)    1.4640    0.007    11    1.4572    0.0155    2887    1.4836    0.0245    11132
29    699    3:3:3:    3:2:1:    C[6]-3:C[6]-3:C-3:    C[6]-3:N-2:H-1:    C[6](C[6]CH)(C[6]CP)(CHN)    C(C[6]CC)(NC)(H)    1.4712    0.011    12    1.4572    0.0155    2887    1.4836    0.0245    11132
29    699    3:3:3:    3:2:1:    C[6]-3:C[6]-3:C-3:    C[6]-3:N-2:H-1:    C[6](C[6]CO)2(CHN)    C(C[6]CC)(NC)(H)    1.4411    0.017    12    1.4572    0.0155    2887    1.4836    0.0245    11132
29    699    3:3:3:    3:2:1:    C[6]-3:C[6]-3:C-3:    C[6]-3:N-2:H-1:    C[6](C[6]CF)(C[6]CH)(CHN)    C(C[6]CC)(NN)(H)    1.4598    0.004    14    1.4572    0.0155    2887    1.4836    0.0245    11132
29    699    3:3:3:    3:2:1:    C[6]-3:C[6]-3:C-3:    C[6]-3:N-2:H-1:    C[6](C[6]CC)(C[6]CH)(CHN)    C(C[6]CC)(NN)(H)    1.4643    0.011    15    1.4572    0.0155    2887    1.4836    0.0245    11132
29    699    3:3:3:    3:2:1:    C[6]-3:C[6]-3:C-3:    C[6]-3:N-2:H-1:    C[6](C[6]HgC)(C[6]CH)(CHN)    C(C[6]CC)(NC)(H)    1.4680    0.009    15    1.4572    0.0155    2887    1.4836    0.0245    11132
29    699    3:3:3:    3:2:1:    C[6]-3:C[6]-3:C-3:    C[6]-3:N-2:H-1:    C[6](C[6]ClC)(C[6]CH)(CHN)    C(C[6]CC)(NC)(H)    1.4678    0.009    17    1.4572    0.0155    2887    1.4836    0.0245    11132
29    699    3:3:3:    3:2:1:    C[6]-3:C[6]-3:C-3:    C[6]-3:N-2:H-1:    C[6](C[6]CH)(C[6]HN)(CHN)    C(C[6]CC)(NC)(H)    1.4674    0.006    19    1.4572    0.0155    2887    1.4836    0.0245    11132
29    699    3:3:3:    3:2:1:    C[6]-3:C[6]-3:C-3:    C[6]-3:N-2:H-1:    C[6](C[6]CH)(C[6]CN)(CHN)    C(C[6]CC)(NC)(H)    1.4656    0.013    35    1.4572    0.0155    2887    1.4836    0.0245    11132
29    699    3:3:3:    3:2:1:    C[6]-3:C[6]-3:C-3:    C[6]-3:N-2:H-1:    C[6](C[6]CH)(C[6]CN)(CHN)    C(C[6]CC)(NN)(H)    1.4709    0.007    35    1.4572    0.0155    2887    1.4836    0.0245    11132
29    699    3:3:3:    3:2:1:    C[6]-3:C[6]-3:C-3:    C[6]-3:N-2:H-1:    C[6](C[6]CH)2(CHN)    C(C[6]CC)(NO)(H)    1.4617    0.008    36    1.4572    0.0155    2887    1.4836    0.0245    11132
29    699    3:3:3:    3:2:1:    C[6]-3:C[6]-3:C-3:    C[6]-3:N-2:H-1:    C[6](C[6]CH)(C[6]HN)(CHN)    C(C[6]CC)(NN)(H)    1.4595    0.014    41    1.4572    0.0155    2887    1.4836    0.0245    11132
29    699    3:3:3:    3:2:1:    C[6]-3:C[6]-3:C-3:    C[6]-3:N-2:H-1:    C[6](C[6]ClC)(C[6]CH)(CHN)    C(C[6]CC)(NN)(H)    1.4626    0.006    90    1.4572    0.0155    2887    1.4836    0.0245    11132
