490  830  SP-NON_SP3  N  3:1:1:1:  4:  C[5a]-3_2_2:F-3:F-3:F-3  C-2_0_0_0  240_29036_0  465_192_0  1.3330  0.0050  6  1.3330  0.0050  6  
490  830  SP-NON_SP3  N  3:1:1:1:  4:  C[5a]-3_2_2:F-3:F-3:F-3  C-2_0_0_0  240_29110_0  465_192_0  1.3242  0.0250  104  1.3242  0.0250  104  
490  830  SP-NON_SP3  N  3:1:1:1:  4:  C[5a]-3_2_2:F-3:F-3:F-3  C-2_0_0_0  240_29217_0  465_192_0  1.3069  0.0235  15  1.3069  0.0235  15  
490  830  SP-NON_SP3  N  3:1:1:1:  4:  C[5a]-3_2_2:F-3:F-3:F-3  C-2_0_0_0  240_29290_0  465_192_0  1.3251  0.0072  6  1.3251  0.0072  6  
490  830  SP-NON_SP3  N  3:1:1:1:  4:  C[5a]-3_2_2:F-3:F-3:H-3  C-2_0_0_0  240_27665_0  465_193_0  1.3683  0.0111  4  1.3683  0.0111  4  
490  830  SP-NON_SP3  N  3:1:1:1:  4:  C[5a]-3_2_2:F-3:F-3:H-3  C-2_0_0_0  240_28047_0  465_193_0  1.3610  0.0081  16  1.3610  0.0081  16  
490  830  SP-NON_SP3  N  3:1:1:1:  4:  C[5a]-3_2_2:F-3:F-3:H-3  C-2_0_0_0  240_29109_0  465_193_0  1.3511  0.0055  2  1.3511  0.0055  2  
490  830  SP-NON_SP3  N  3:1:1:1:  4:  C[5a]-3_2_2:F-3:F-3:H-3  C-2_0_0_0  240_29216_0  465_193_0  1.3448  0.0091  2  1.3448  0.0091  2  
490  830  SP-NON_SP3  N  3:1:1:1:  4:  C[5a]-3_3_2:F-3:H-3:H-3  C-2_0_0_0  240_28046_0  465_194_0  1.4182  0.0000  1  1.4182  0.0000  1  
490  830  SP-NON_SP3  N  3:1:1:1:  4:  C[6]-3_1_1:F-3:F-3:F-3  C-2_0_0_0  240_31650_0  465_204_0  1.3143  0.0345  286  1.3143  0.0345  286  
