863  955  SP2_SP3  N  4:  4:4:1:1:  P[5,6,6]-3_3_2_0  Cl-3:C[4,5,6,6]-3_3_3_3:C[5,3x6]-3_3_3_0:O-3  665_6548_0  744_0_1  1.4741  0.0000  1  1.4741  0.0000  1  
863  955  SP2_SP3  N  4:  4:4:1:1:  P[5]-3_3_2_2  C[5]-3_3_2_2:C[5]-3_3_3_2:O-3:O-3  665_6595_0  746_299_1  1.5164  0.0023  2  1.5164  0.0023  2  
863  955  SP2_SP3  N  4:  4:4:2:1:  P[5,5,3x6]-3_3_3_2  C[5,4x6]-3_3_2_2:C[5,5x6]-3_3_3_2:O-3:O[5,5]-3_3  665_6541_0  740_0_1  1.4650  0.0003  4  1.4650  0.0003  4  
863  955  SP2_SP3  N  4:  4:4:2:1:  P[5]-3_3_3_2  C[5,6]-3_3_3_3:C[5]-3_3_3_3:O-3_0:O-3  665_6562_0  746_78_1  1.5003  0.0000  1  1.5003  0.0000  1  
863  955  SP2_SP3  N  4:  4:4:2:1:  P[5]-3_3_3_2  C[5]-3_3_2_0:C[5]-3_3_2_0:O-3_0:O-3  665_6595_0  746_342_1  1.5398  0.0000  1  1.5398  0.0000  1  
863  955  SP2_SP3  N  4:  4:4:3:1:  P[5,6]-3_3_2_2  C[5,5,6]-3_3_3_0:C[5,6]-3_3_0_0:C[6a]-3_2_2:O-3  665_6549_0  745_3_1  1.4951  0.0000  1  1.4962  0.0049  5  
863  955  SP2_SP3  N  4:  4:4:3:1:  P[5,6]-3_3_2_2  C[5,5,6]-3_3_3_0:C[5,6]-3_3_0_0:C[6a]-3_2_2:O-3  665_6549_0  745_3_2  1.4908  0.0000  1  1.4962  0.0049  5  
863  955  SP2_SP3  N  4:  4:4:3:1:  P[5,6]-3_3_2_2  C[5,5,6]-3_3_3_0:C[5,6]-3_3_0_0:C[6a]-3_2_2:O-3  665_6549_0  745_3_3  1.4983  0.0051  3  1.4962  0.0049  5  
863  955  SP2_SP3  N  4:  4:4:3:1:  P[5]-3_3_2_2  C[5]-3_2_0_0:C[5]-3_2_0_0:C[6a]-3_2_2:O-3  665_6607_0  746_285_1  1.4700  0.0000  1  1.4700  0.0000  1  
863  955  SP2_SP3  N  4:  4:4:3:1:  P[5]-3_3_2_2  C[5]-3_3_0_0:C[5]-3_3_0_0:C[6a]-3_2_2:O-3  665_6607_0  746_274_1  1.4880  0.0000  1  1.4880  0.0000  1  
